# trajectory data of sequence CCTV
# this contains the extraction from a single frame
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
242 0 -11.680 -4.480 1.8 813.000 842520.93 6520292.07
243 0 -10.630 -6.190 1.8 813.000 842522.42 6520293.42
244 0 -10.050 -6.970 1.8 813.000 842523.08 6520294.13
245 0 -9.670 -8.340 1.8 813.000 842524.35 6520294.75
246 0 -9.680 -6.940 1.8 813.000 842522.98 6520294.49
247 0 -9.210 -6.750 1.8 813.000 842522.70 6520294.91
248 0 -8.690 -6.050 1.8 813.000 842521.92 6520295.30
249 0 -8.480 -5.490 1.8 813.000 842521.34 6520295.40
250 0 -9.170 -5.460 1.8 813.000 842521.43 6520294.72
251 0 -9.700 -5.460 1.8 813.000 842521.52 6520294.19
252 0 -10.410 -4.950 1.8 813.000 842521.16 6520293.41
253 0 -10.640 -4.320 1.8 813.000 842520.58 6520293.06
254 0 -10.090 -4.670 1.8 813.000 842520.83 6520293.66
255 0 -9.510 -4.370 1.8 813.000 842520.42 6520294.18
256 0 -8.910 -4.720 1.8 813.000 842520.65 6520294.83
257 0 -8.270 -4.630 1.8 813.000 842520.45 6520295.44
258 0 -9.500 -2.280 1.8 813.000 842518.36 6520293.80
259 0 -9.770 -3.020 1.8 813.000 842519.14 6520293.67
260 0 -10.210 -3.320 1.8 813.000 842519.52 6520293.29
261 0 -8.850 -1.160 1.8 813.000 842517.14 6520294.24
262 0 -8.200 -0.590 1.8 813.000 842516.46 6520294.77
263 0 -7.950 -6.900 1.8 813.000 842522.62 6520296.18
264 0 -7.530 -8.110 1.8 813.000 842523.73 6520296.82
265 0 -6.650 -8.200 1.8 813.000 842523.66 6520297.70
266 0 -6.320 -8.650 1.8 813.000 842524.03 6520298.11
267 0 -5.900 -8.380 1.8 813.000 842523.70 6520298.47
268 0 -5.120 -8.290 1.8 813.000 842523.47 6520299.22
269 0 -4.550 -8.170 1.8 813.000 842523.24 6520299.76
270 0 -4.420 -8.780 1.8 813.000 842523.82 6520300.00
271 0 -4.220 -8.650 1.8 813.000 842523.66 6520300.17
272 0 -6.370 -7.440 1.8 813.000 842522.85 6520297.83
273 0 -7.390 -7.030 1.8 813.000 842522.64 6520296.75
274 0 -7.020 -6.630 1.8 813.000 842522.19 6520297.04
275 0 -7.500 -5.970 1.8 813.000 842521.62 6520296.45
276 0 -7.200 -5.860 1.8 813.000 842521.46 6520296.72
277 0 -6.610 -5.610 1.8 813.000 842521.11 6520297.26
278 0 -6.700 -4.990 1.8 813.000 842520.51 6520297.06
279 0 -5.340 -5.900 1.8 813.000 842521.15 6520298.56
280 0 -5.320 -6.560 1.8 813.000 842521.79 6520298.70
281 0 -5.040 -6.900 1.8 813.000 842522.08 6520299.04
282 0 -4.430 -6.040 1.8 813.000 842521.13 6520299.48
283 0 -4.790 -5.400 1.8 813.000 842520.56 6520299.01
284 0 -4.710 -7.520 1.8 813.000 842522.63 6520299.48
285 0 -4.400 -7.500 1.8 813.000 842522.55 6520299.78
286 0 -4.230 -7.170 1.8 813.000 842522.19 6520299.88
287 0 -4.030 -7.750 1.8 813.000 842522.73 6520300.19
288 0 -3.530 -7.550 1.8 813.000 842522.45 6520300.65
289 0 -3.780 -6.850 1.8 813.000 842521.80 6520300.28
290 0 -3.500 -5.180 1.8 813.000 842520.11 6520300.23
291 0 -3.270 -6.130 1.8 813.000 842520.99 6520300.64
292 0 -3.140 -7.330 1.8 813.000 842522.15 6520300.99
293 0 -2.720 -7.730 1.8 813.000 842522.47 6520301.48
294 0 -2.140 -7.930 1.8 813.000 842522.56 6520302.08
295 0 -2.430 -7.400 1.8 813.000 842522.09 6520301.70
296 0 -2.470 -8.490 1.8 813.000 842523.17 6520301.86
297 0 -2.890 -8.490 1.8 813.000 842523.24 6520301.44
298 0 -3.570 -8.650 1.8 813.000 842523.53 6520300.81
299 0 -3.800 -8.470 1.8 813.000 842523.40 6520300.55
300 0 -0.850 -7.960 1.8 813.000 842522.35 6520303.35
301 0 -0.450 -7.770 1.8 813.000 842522.09 6520303.71
302 0 -0.680 -7.430 1.8 813.000 842521.80 6520303.43
303 0 -0.390 -7.450 1.8 813.000 842521.77 6520303.72
304 0 -0.180 -7.080 1.8 813.000 842521.36 6520303.85
305 0 -0.030 -6.350 1.8 813.000 842520.61 6520303.87
306 0 -0.640 -6.870 1.8 813.000 842521.25 6520303.36
307 0 -1.130 -6.550 1.8 813.000 842521.01 6520302.82
308 0 -0.910 -5.920 1.8 813.000 842520.35 6520302.92
309 0 -1.390 -6.030 1.8 813.000 842520.56 6520302.47
310 0 -1.510 -6.530 1.8 813.000 842521.07 6520302.44
311 0 -2.060 -6.570 1.8 813.000 842521.21 6520301.91
312 0 -2.680 -6.170 1.8 813.000 842520.92 6520301.23
313 0 -1.840 -5.780 1.8 813.000 842520.39 6520301.98
314 0 -2.420 -5.110 1.8 813.000 842519.84 6520301.28
315 0 -2.680 -5.340 1.8 813.000 842520.11 6520301.07
316 0 -3.110 -4.900 1.8 813.000 842519.76 6520300.57
317 0 -3.800 -4.700 1.8 813.000 842519.69 6520299.85
318 0 -3.460 -4.290 1.8 813.000 842519.22 6520300.11
319 0 -1.880 -4.940 1.8 813.000 842519.58 6520301.78
320 0 -1.360 -5.280 1.8 813.000 842519.81 6520302.36
321 0 -1.130 -5.390 1.8 813.000 842519.88 6520302.60
322 0 -0.220 -5.830 1.8 813.000 842520.14 6520303.58
323 0 -2.150 -5.300 1.8 813.000 842519.98 6520301.58
324 0 -2.060 -7.210 1.8 813.000 842521.84 6520302.03
325 0 2.810 -8.130 1.8 813.000 842521.84 6520306.98
326 0 3.640 -7.960 1.8 813.000 842521.52 6520307.77
327 0 3.760 -7.400 1.8 813.000 842520.95 6520307.78
328 0 3.800 -6.920 1.8 813.000 842520.47 6520307.73
329 0 3.630 -6.580 1.8 813.000 842520.16 6520307.50
330 0 3.820 -6.160 1.8 813.000 842519.72 6520307.61
331 0 3.750 -5.670 1.8 813.000 842519.25 6520307.45
332 0 3.460 -5.690 1.8 813.000 842519.33 6520307.17
333 0 3.130 -6.210 1.8 813.000 842519.89 6520306.94
334 0 2.700 -6.280 1.8 813.000 842520.04 6520306.53
335 0 2.950 -5.930 1.8 813.000 842519.66 6520306.72
336 0 3.040 -5.350 1.8 813.000 842519.07 6520306.70
337 0 2.580 -5.670 1.8 813.000 842519.47 6520306.30
338 0 2.330 -6.100 1.8 813.000 842519.93 6520306.14
339 0 2.150 -6.320 1.8 813.000 842520.18 6520306.00
340 0 2.080 -5.710 1.8 813.000 842519.59 6520305.82
341 0 1.900 -6.130 1.8 813.000 842520.04 6520305.72
342 0 1.580 -5.910 1.8 813.000 842519.88 6520305.36
343 0 1.410 -6.410 1.8 813.000 842520.41 6520305.29
344 0 0.970 -5.950 1.8 813.000 842520.04 6520304.77
345 0 1.090 -5.530 1.8 813.000 842519.60 6520304.82
346 0 0.160 -5.550 1.8 813.000 842519.80 6520303.90
347 0 0.700 -6.340 1.8 813.000 842520.47 6520304.58
348 0 0.890 -7.130 1.8 813.000 842521.21 6520304.91
349 0 1.140 -7.740 1.8 813.000 842521.77 6520305.27
350 0 1.630 -8.670 1.8 813.000 842522.59 6520305.92
351 0 1.240 -8.510 1.8 813.000 842522.50 6520305.51
352 0 1.930 -7.920 1.8 813.000 842521.80 6520306.08
353 0 2.110 -7.520 1.8 813.000 842521.37 6520306.18
354 0 2.710 -6.920 1.8 813.000 842520.67 6520306.66
355 0 2.460 -7.020 1.8 813.000 842520.81 6520306.43
356 0 3.190 -8.030 1.8 813.000 842521.67 6520307.34
357 0 0.600 -7.740 1.8 813.000 842521.87 6520304.74
358 0 0.110 -7.690 1.8 813.000 842521.91 6520304.25
359 0 0.860 -8.380 1.8 813.000 842522.45 6520305.11
360 0 0.610 -5.400 1.8 813.000 842519.56 6520304.31
361 0 0.360 -5.330 1.8 813.000 842519.54 6520304.06
362 0 1.120 -5.030 1.8 813.000 842519.10 6520304.75
363 0 1.890 -5.010 1.8 813.000 842518.95 6520305.50
364 0 2.860 -4.730 1.8 813.000 842518.49 6520306.41
365 0 4.640 -8.120 1.8 813.000 842521.49 6520308.78
366 0 4.850 -7.870 1.8 813.000 842521.21 6520308.94
367 0 5.310 -7.990 1.8 813.000 842521.25 6520309.42
368 0 6.530 -8.060 1.8 813.000 842521.09 6520310.63
369 0 6.980 -7.960 1.8 813.000 842520.90 6520311.05
370 0 7.350 -7.890 1.8 813.000 842520.77 6520311.40
371 0 7.830 -8.050 1.8 813.000 842520.84 6520311.90
372 0 8.340 -8.090 1.8 813.000 842520.78 6520312.41
373 0 8.440 -7.580 1.8 813.000 842520.27 6520312.42
374 0 7.930 -7.540 1.8 813.000 842520.32 6520311.90
375 0 7.940 -6.950 1.8 813.000 842519.74 6520311.80
376 0 7.400 -7.190 1.8 813.000 842520.07 6520311.32
377 0 6.740 -7.040 1.8 813.000 842520.04 6520310.64
378 0 5.440 -6.570 1.8 813.000 842519.82 6520309.28
379 0 4.680 -6.740 1.8 813.000 842520.13 6520308.56
380 0 4.240 -6.370 1.8 813.000 842519.85 6520308.07
381 0 4.340 -5.090 1.8 813.000 842518.57 6520307.93
382 0 4.620 -4.900 1.8 813.000 842518.34 6520308.17
383 0 4.960 -5.130 1.8 813.000 842518.50 6520308.55
384 0 5.270 -5.320 1.8 813.000 842518.62 6520308.88
385 0 5.740 -5.370 1.8 813.000 842518.58 6520309.36
386 0 5.810 -5.940 1.8 813.000 842519.13 6520309.53
387 0 6.330 -5.370 1.8 813.000 842518.48 6520309.93
388 0 6.710 -5.420 1.8 813.000 842518.46 6520310.32
389 0 7.040 -6.140 1.8 813.000 842519.10 6520310.77
